"imagen_id","respuesta","cara_peor","brillo_medio","contraste_global","area_objeto","rugosidad_superficial","variacion_color_verde"
"img_0001","No conforme",1,0.932606374834846,0.141511418366277,12980,0.0923647784486015,0.0923740158501865
"img_0002","Conforme",1,0.951905855443618,0.116616329855178,9660,0.0432322201646664,0.0432365438190483
"img_0003","No conforme",0,0.905363903180291,0.177300717008861,19322,0.216492246008488,0.216513897398228
"img_0004","Conforme",1,0.94787446768368,0.120315910773758,10508,0.0433695979086642,0.0433739353021944
"img_0005","No conforme",2,0.896115309232824,0.188942077770384,20046,0.223314074067789,0.22333640770856
"img_0006","Conforme",1,0.953368338910271,0.115154190497362,9360,0.043110675774352,0.0431149872730793
"img_0007","Conforme",1,0.936045122626809,0.130570574607462,12870,0.0429886215818535,0.0429929208739409
"img_0008","Conforme",1,0.951018840044807,0.117445723030234,9849,0.0434443750635358,0.0434487199355294
"img_0009","Conforme",1,0.94426316323673,0.123895614807249,11189,0.0429344346069788,0.0429387284798268
"img_0010","Conforme",1,0.956420748865464,0.111651443954206,8784,0.0433624516127195,0.0433667882915486
"img_0011","Conforme",1,0.955307387479894,0.11291748091113,9000,0.0434169540211695,0.0434212961507846
"img_0012","Conforme",1,0.948857813253964,0.119407253918516,10304,0.04315577124854,0.0431600872572657
"img_0013","No conforme",1,0.943535840525908,0.125627365843546,11195,0.0459790726253826,0.0459836709924818
"img_0014","Conforme",1,0.949705279433306,0.118745437591247,10112,0.0434148618135561,0.0434192037339295
"img_0015","No conforme",1,0.935137524880802,0.132135705943608,12934,0.0451363719869054,0.0451408860755129
"img_0016","Conforme",1,0.945635598934398,0.122629326554249,10920,0.0431545511245602,0.0431588670112613
"img_0017","Conforme",1,0.944479876206342,0.123692750242768,11152,0.0434804716873134,0.0434848201693304
"img_0018","No conforme",2,0.89669185428395,0.182848571205978,20418,0.209931814580888,0.209952809861875
"img_0019","Conforme",1,0.943833805901022,0.124221333259718,11288,0.0433753341667066,0.04337967213392
"img_0020","No conforme",1,0.936305333754595,0.134749319732543,12529,0.073999140085435,0.0740065407395089
"img_0021","No conforme",2,0.887692222972197,0.198611859195147,20571,0.225774480896709,0.22579706060277
"img_0022","Conforme",1,0.939569849584243,0.127758613227272,12160,0.0431551588339007,0.0431594747813788
"img_0023","Conforme",1,0.941971402641745,0.12565882991296,11692,0.043407630453652,0.043411971650817
"img_0024","Conforme",1,0.952017203548656,0.116318323403044,9664,0.0431270100408877,0.043131323173205
"img_0025","Conforme",1,0.948692077493107,0.119498573005712,10350,0.0434334482706678,0.0434377920498728
"img_0026","No conforme",2,0.894347022346048,0.193094293359921,19978,0.22835182974538,0.228374667212101
"img_0027","Conforme",1,0.952516504965389,0.115893633501455,9555,0.0435851847837424,0.0435895437381162
