"anio","semestre","puntaje_final","horas_estudio","promedio_previo","genero","carrera","acceso_internet","trabaja","modalidad"
2021,"0",141.587834507185,15.0786404016509,8.86417071586378,"1","negocios","0","0","0"
2021,"0",103.770948940228,9.3667448052153,6.53309571211631,"0","datos","1","1","1"
2021,"0",118.246638863047,8.51582452234155,5.97665374091412,"1","negocios","0","0","1"
2021,"0",148.043632667616,17.578135953489,9.12620283723216,"0","negocios","0","1","1"
2021,"0",174.853494758364,15.0786404016509,10.9234926318509,"1","ingenieria","0","1","1"
2021,"0",151.228789469558,19.0046900982853,9.8546908844799,"1","ingenieria","1","1","1"
2021,"0",149.007171128793,16.4468466220934,8.26195025975779,"1","datos","1","1","1"
2021,"0",143.444287884182,14.1201746068508,8.24721761359644,"1","negocios","0","0","0"
2021,"0",152.382891838309,25.7313965736982,5.9262724763713,"1","ingenieria","1","1","0"
2021,"0",122.112062613285,12.8776284209267,7.89383222483135,"0","ingenieria","0","1","1"
2021,"0",119.696534528112,11.1240366197348,7.18231863033474,"0","negocios","0","0","0"
2021,"0",140.80214896467,13.5702064187742,7.68092281463006,"0","negocios","0","0","1"
2021,"0",131.426990931328,15.0786404016509,8.031837625307,"0","negocios","0","0","0"
2021,"0",143.607534321128,13.8118424097354,7.92462328315894,"1","negocios","0","0","0"
2021,"0",142.815402320925,17.9282999493253,9.57921036335444,"0","negocios","1","0","1"
2021,"0",139.233562717426,17.0391869130928,8.93714914415274,"0","negocios","1","1","0"
2021,"0",131.955631925171,15.0786404016509,7.36582655414495,"0","datos","1","1","1"
2021,"0",128.085807932524,9.6158908290913,6.50956334936558,"1","ciencias de la computacion","0","1","1"
2021,"0",119.560136183416,13.8874107917477,8.26195025975779,"1","negocios","1","1","1"
2021,"0",137.974687294639,17.7574130186666,8.58544890315508,"1","ciencias de la computacion","1","0","0"
2021,"0",160.871705282574,14.9937460188806,8.17353809453284,"1","negocios","1","0","1"
2021,"0",145.514801129814,12.2046996243335,7.22549752294561,"0","datos","0","0","1"
2021,"0",139.294879142148,14.4963094032378,7.70498217358028,"1","negocios","0","1","0"
2021,"0",136.192377188508,18.0432692336751,8.8992080866725,"0","datos","0","1","0"
2021,"0",137.543466607484,14.8552246060741,8.4973485846679,"1","datos","1","1","1"
2021,"0",124.63505035636,13.437119867011,7.57495768352416,"0","negocios","1","0","1"
2021,"0",129.904994527899,13.1848183841141,8.02606435374758,"1","ingenieria","1","1","1"
2021,"0",164.265976323912,18.983759621613,9.67687505379186,"1","negocios","1","1","1"
2021,"0",163.818287387901,16.7246842938318,8.78182623033734,"1","negocios","1","1","1"
2021,"0",102.77895431527,11.2760133254072,6.56354711248241,"0","datos","0","1","0"
2021,"0",149.115659351486,17.3613732944066,8.8972796990986,"0","ciencias de la computacion","0","1","1"
2021,"0",141.826796634272,11.5937202481127,6.93040106682479,"1","datos","1","0","0"
2021,"0",161.65713670566,21.9945693769259,10.6328169485514,"0","ciencias de la computacion","1","1","1"
2021,"0",149.375980330754,17.3851869674462,9.24775941831099,"0","datos","1","1","0"
2021,"0",118.231209858907,15.0786404016509,5.14658964550842,"0","negocios","1","0","1"
2021,"0",136.246697895364,17.7054880214456,9.0638040297169,"0","datos","0","0","0"
2021,"0",138.006377163222,15.6635367253852,8.34975099130023,"1","ciencias de la computacion","1","1","1"
2021,"0",131.053722961395,14.2603106686932,8.26333499689321,"1","datos","1","0","1"
2021,"0",168.274735059522,20.4308034588424,10.0476889940357,"1","ingenieria","1","0","1"
2021,"0",127.7848411242,15.803399991388,8.66859833559289,"1","ciencias de la computacion","0","0","0"
